epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,9427.54,0.82868,1.23988,0.52407,1.16552,0.90785,0.73016,0.82305,0.66234,0.90785,0.73016,0.82521,0.5555,0.9324,1.69037,1.41195,1.29763,0.0018383,0.0018383,0.0018383
51,9569.04,0.86137,1.32436,0.55948,1.20641,0.95379,0.69841,0.78335,0.59622,0.95379,0.69841,0.77737,0.50408,1.06264,1.78532,1.99102,1.42319,0.001835,0.001835,0.001835
52,9709.72,0.84023,1.30594,0.57349,1.15677,0.98972,0.76435,0.87677,0.72096,0.98972,0.76435,0.87677,0.55603,0.83127,1.89014,1.59535,1.21311,0.0018317,0.0018317,0.0018317
53,9850.47,0.81813,1.2796,0.5263,1.14958,0.96665,0.80952,0.93671,0.77263,0.96665,0.80952,0.93671,0.64657,0.74831,1.51681,0.65069,1.14157,0.0018284,0.0018284,0.0018284
54,9991.47,0.8575,1.33534,0.57982,1.18762,0.81278,0.76984,0.8283,0.67689,0.81278,0.76984,0.82694,0.50155,0.91613,1.91034,1.03253,1.26269,0.0018251,0.0018251,0.0018251
55,10132.6,0.79094,1.2245,0.51787,1.14728,0.88407,0.76984,0.85493,0.70348,0.88407,0.76984,0.85521,0.56279,0.80121,1.78167,1.13634,1.17256,0.0018218,0.0018218,0.0018218
56,10272.9,0.86242,1.28765,0.58468,1.15522,0.98982,0.77176,0.92304,0.76427,0.98982,0.77176,0.92355,0.63741,0.77655,1.59324,0.70843,1.14934,0.0018185,0.0018185,0.0018185
57,10413.4,0.77085,1.21772,0.49974,1.16967,0.93492,0.72222,0.87118,0.70838,0.93492,0.72222,0.87118,0.60553,0.8515,1.65363,0.93576,1.23617,0.0018152,0.0018152,0.0018152
58,10554.7,0.8046,1.19875,0.5327,1.13949,0.96245,0.81359,0.94014,0.75257,0.96245,0.81359,0.94014,0.62579,0.75161,1.73184,1.17623,1.14768,0.0018119,0.0018119,0.0018119
59,10695.3,0.74385,1.17831,0.50254,1.13372,0.99032,0.75397,0.87058,0.73563,0.99032,0.75397,0.87058,0.62991,0.72822,1.50413,1.3099,1.12003,0.0018086,0.0018086,0.0018086
60,10836.3,0.83843,1.21618,0.54081,1.16201,0.97201,0.82685,0.94003,0.76431,0.97201,0.82685,0.93702,0.64029,0.79256,1.57257,0.80675,1.14634,0.0018053,0.0018053,0.0018053
61,10977.2,0.80805,1.2174,0.52718,1.14643,1,0.78642,0.87561,0.75302,1,0.78642,0.87561,0.62241,0.72597,1.5845,1.01875,1.12926,0.001802,0.001802,0.001802
62,11117.6,0.81955,1.23091,0.50032,1.16037,0.99438,0.8254,0.9691,0.81335,0.99438,0.8254,0.9691,0.68596,0.70503,1.44909,0.51323,1.09773,0.0017987,0.0017987,0.0017987
63,11258.6,0.75862,1.17056,0.50329,1.12106,0.91925,1,0.99137,0.8259,0.91925,1,0.99137,0.68657,0.68869,1.61149,0.50459,1.11436,0.0017954,0.0017954,0.0017954
64,11399,0.77233,1.14544,0.51813,1.12834,0.93588,0.92667,0.96822,0.78827,0.93588,0.92667,0.96822,0.64782,0.77486,1.62069,0.63373,1.18417,0.0017921,0.0017921,0.0017921
65,11539.5,0.74943,1.1823,0.48999,1.09619,0.98195,0.88095,0.97221,0.80824,0.98195,0.88095,0.97221,0.66618,0.72941,1.56006,0.59268,1.09748,0.0017888,0.0017888,0.0017888
66,11681,0.74693,1.1306,0.48391,1.10275,0.94422,0.75397,0.8677,0.6926,0.92964,0.734,0.85336,0.53827,0.88595,1.92249,0.98178,1.28995,0.0017855,0.0017855,0.0017855
67,11821.4,0.76586,1.19477,0.50316,1.1062,1,0.77156,0.9092,0.75178,1,0.77156,0.9092,0.64413,0.73669,1.50544,1.036,1.10638,0.0017822,0.0017822,0.0017822
68,11962.1,0.74351,1.13966,0.47539,1.11392,0.94749,0.89683,0.9585,0.82352,0.95703,0.88889,0.9538,0.68197,0.67734,1.54181,0.62661,1.09009,0.0017789,0.0017789,0.0017789
69,12102.4,0.75998,1.16316,0.52188,1.10537,0.82987,0.87302,0.90601,0.64733,0.91381,0.68254,0.81108,0.5158,1.18892,2.11398,0.83009,1.54699,0.0017756,0.0017756,0.0017756
70,12242.7,0.80025,1.22619,0.50654,1.15917,0.95225,0.94971,0.97785,0.80548,0.93081,0.93651,0.97377,0.68221,0.73148,1.51987,0.56691,1.0788,0.0017723,0.0017723,0.0017723
71,12383.6,0.77668,1.16488,0.48819,1.13844,0.87744,0.69841,0.86071,0.65951,0.88168,0.68254,0.84343,0.53352,0.97997,1.88374,0.93489,1.42421,0.001769,0.001769,0.001769
72,12524.5,0.74029,1.14379,0.48084,1.11673,1,0.79049,0.90716,0.78199,0.98986,0.7744,0.89781,0.62514,0.73032,1.57028,0.87861,1.1097,0.0017657,0.0017657,0.0017657
73,12665,0.7384,1.15962,0.4708,1.1157,0.87768,0.68254,0.84175,0.66235,0.9193,0.63286,0.79562,0.47411,0.96906,2.20889,0.98739,1.31453,0.0017624,0.0017624,0.0017624
